$MSTAT,1600560600,092020,001000,12.0748.2984,E,1.26,251.32,200920,,,A*60
$MSTAT,1600570560,092020,025600,12.0367,0.2252,28.0975,46.0835,3.2168,1.2144,3.3178,15284832
$MSTAT,1600570681,092020,025801,12.0333,0.2267,28.0903,45.8276,3.2149,1.2144,3.3166,15284832
$MSTAT,1600570801,092020,030001,12.0369,0.2380,28.0851,45.9173,3.2140,1.2144,3.3164,15284832
$MSTAT,1600570920,092020,030200,12.0277,0.2597,28.1015,46.0475,3.2153,1.2144,3.3168,15284832
$MSTAT,1600571040,092020,030400,12.0324,0.2410,28.1377,45.9483,3.2152,1.2144,3.3166,15284832
$MSTAT,1600571161,092020,030601,12.0377,0.2397,28.0943,45.9716,3.2152,1.2144,3.3170,15284832
$MSTAT,1600571281,092020,030801,12.0363,0.2385,28.1397,45.7820,3.2141,1.2144,3.3159,15284832
$MSTAT,1600571400,092020,031000,12.0323,0.2464,28.1092,45.6887,3.2143,1.2144,3.3165,15284832
$MSTAT,1600571520,092020,031200,12.0235,0.2585,28.1193,45.8822,3.2140,1.2144,3.3154,15284832
$MSTAT,1600571640,092020,031400,12.0428,0.2332,28.1118,45.9622,3.2147,1.2144,3.3165,15284832
$MSTAT,1600571761,092020,031601,12.0378,0.2286,28.0790,45.9566,3.2149,1.2144,3.3160,15284832
$MSTAT,1600571880,092020,031800,12.0407,0.2270,28.1343,45.8200,3.2160,1.2144,3.3166,15284832
$MSTAT,1600572000,092020,032000,12.0444,0.2354,28.0658,45.9699,3.2156,1.2144,3.3169,15284832
$MSTAT,1600572120,092020,032200,12.0261,0.2602,28.0920,45.9538,3.2166,1.2144,3.3167,15284832
$MSTAT,1600572241,092020,032401,12.0387,0.2327,28.1121,46.0744,3.2168,1.2144,3.3177,15284832
$MSTAT,1600572360,092020,032600,12.0441,0.2378,28.0836,45.9404,3.2161,1.2144,3.3171,15284832
$MSTAT,1600572480,092020,032800,12.0375,0.2289,28.1115,45.7629,3.2153,1.2144,3.3165,15284832
$MSTAT,1600572600,092020,033000,12.0424,0.2302,28.0684,45.6792,3.2153,1.2144,3.3169,15284832
$MSTAT,1600572721,092020,033201,12.0258,0.2399,28.0554,45.8748,3.2150,1.2144,3.3163,15284832
$MSTAT,1600572840,092020,033400,12.0507,0.2339,28.0505,46.1745,3.2163,1.2144,3.3183,15284832
$MSTAT,1600572960,092020,033600,12.0364,0.2364,28.0954,45.7134,3.2158,1.2144,3.3164,15284832
$MSTAT,1600573080,092020,033800,12.0367,0.2381,28.0652,45.7517,3.2162,1.2144,3.3177,15284832
$MSTAT,1600573201,092020,034001,12.0386,0.2361,28.0339,45.6545,3.2147,1.2144,3.3162,15284832
$MSTAT,1600573321,092020,034201,12.0289,0.2445,28.0031,45.9952,3.2148,1.2144,3.3167,15284832
$MSTAT,1600573440,092020,034400,12.0297,0.2467,28.0134,45.8715,3.2155,1.2144,3.3171,15284832
$MSTAT,1600573560,092020,034600,12.0253,0.2434,28.0192,45.7564,3.2145,1.2144,3.3155,15284832
$MSTAT,1600573681,092020,034801,12.0468,0.2292,28.0822,45.7877,3.2152,1.2144,3.3169,15284832
$MSTAT,1600573801,092020,035001,12.0402,0.2408,28.0644,45.9098,3.2161,1.2144,3.3177,15284832
$MSTAT,1600573920,092020,035200,12.0432,0.2459,28.0681,46.0740,3.2160,1.2144,3.3173,15284832
$MSTAT,1600574038,092020,035358,12.0242,0.2377,28.0825,45.7917,3.2136,1.2144,3.3151,15284832
$MSTAT,1600574041,092020,035401,12.0335,0.2333,28.0747,46.1334,3.2178,1.2144,3.3183,15284832
$MSTAT,1600574160,092020,035600,12.0392,0.2380,28.0713,45.8690,3.2150,1.2144,3.3164,15284832
$MSTAT,1600574280,092020,035800,12.0302,0.2581,28.0292,45.9061,3.2157,1.2144,3.3170,15284832
$MSTAT,1600574401,092020,040001,12.0364,0.2389,28.0888,45.6617,3.2142,1.2144,3.3168,15284832
